f1  f2  f3  f4  f5  f6  f7      c
0   0    0   0   0   0   0      c1
1300 1200 122 12212 1 9 10      c3
1.5 1.5  1.5 1.5 1.5 1.5 1.5    c2
1.6 1.7  1.8 1.9 1.5 1.5 2      c2
2.5 2.5  2.5 2.5 2.5 2.5 2.5    c2
2.5 2.5  2.5 2.5 2.5 2.5 2.7    c2
0.0 0.0 0.1 0 0 0 0             c1
2.5 2.5  2.5 2.5 2.5 2.5 2.8    c2
2.5 2.5  2.5 2.5 2.5 2.5 2.9    c2
2.5 2.5  2.5 2.5 2.5 2.9 3      c1
1 1 1 1 1 1 1                   c2
1 1 1 1 1 1 1000                c3
1 1 1 1 1 1 3000                c3
0.1 0 0 0 0 0 0.2               c1
