f1  f2  f3  f4  f5  f6  f7      c
0   0    0   0   0   0   0      1
1300 1200 122 12212 1 9 10      4
1.5 1.5  1.5 1.5 1.5 1.5 1.5    3
1.6 1.7  1.8 1.9 1.5 1.5 2      3
2.5 2.5  2.5 2.5 2.5 2.5 2.5    2
2.5 2.5  2.5 2.5 2.5 2.5 2.7    2
0 0 0.1 0 0 0 0                 1
2.5 2.5  2.5 2.5 2.5 2.5 2.8    2
1 1 1 1 1 1 1                   3
1 1 1 1 1 1 1000                4
1 1 1 1 1 1 3000                4
0.1 0 0 0 0 0 0                 1
0 0.1 0 0 0 0 0			2
0 0 0.1 0 0 0 0			1
0 0 0  0.1 0 0 0		1
